FINALS RESULTS
Position: 17

Games:        11910

2p Games:     3622   (an extra 247 games against DQ'd players ignored)
Wins:         2490
Losses:       1132

Rushes:       1455
Wins:         1279   (87.9%)
Losses:       176

Non-Rushes:   2167
Wins:         1211   (55.9%)
Losses:       956

--------------------------------------------------
Rush Results Only (2p games, < 10 ships produced):

9625466  O    succcubbus
9624814  O    RyanDraves
9624702  O    dhallstr
9624692  O    dhallstr
9624515  O    ebretl
9624452    X  kindanoob
9624231  O    RyanDraves
9624164  O    dhallstr
9623828  O    Rachol
9623782  O    succcubbus
9623604  O    klyd3r
9623118  O    alexander-mol
9622951  O    RyanDraves
9622379  O    succcubbus
9621855  O    klyd3r
9621256  O    klyd3r
9620846  O    klyd3r
9619891  O    klyd3r
9619791    X  RyanDraves
9619123  O    klyd3r
9619067  O    alexander-mol
9619007  O    AzureFractal
9618233  O    AzureFractal
9617145  O    kindanoob
9615930  O    RyanDraves
9615398  O    ericzhang98
9614821  O    RyanDraves
9614599  O    AzureFractal
9614425  O    succcubbus
9613513  O    Prisoner3D
9613205  O    ipost
9613078  O    ipost
9612997  O    Gadziferoth
9612845  O    ipost
9612764  O    klyd3r
9612269  O    alexander-mol
9611594  O    ipost
9611063    X  ipost
9610996  O    succcubbus
9610825  O    klyd3r
9610654  O    alexander-mol
9610248  O    AzureFractal
9610070  O    alexander-mol
9610068  O    skippybodbot
9609524  O    klyd3r
9609056    X  ipost
9608773  O    dhallstr
9608441  O    RyanDraves
9608085  O    AzureFractal
9608070  O    alexander-mol
9606943  O    AzureFractal
9606892  O    kindanoob
9606815  O    alexander-mol
9605813  O    AzureFractal
9605402  O    coleholcomb
9604994  O    spelljack
9604987  O    alexander-mol
9604187  O    RyanDraves
9604045  O    AzureFractal
9602792    X  ebretl
9602755  O    alexander-mol
9601701  O    RyanDraves
9601503    X  kindanoob
9600901  O    kindanoob
9600084  O    AzureFractal
9600067  O    alexander-mol
9599903  O    kindanoob
9599844    X  ebretl
9599611  O    klyd3r
9599030  O    AzureFractal
9599021  O    ipost
9598785  O    AzureFractal
9597833  O    kindanoob
9596808  O    klyd3r
9596661  O    klyd3r
9596616  O    succcubbus
9595795  O    klyd3r
9595767  O    klyd3r
9595716  O    AzureFractal
9595327  O    dhallstr
9595281  O    klyd3r
9595279  O    RyanDraves
9595150  O    reCurs3
9595056  O    ipost
9594547  O    klyd3r
9593792  O    succcubbus
9593279  O    dhallstr
9593026  O    klyd3r
9593011  O    alexander-mol
9592903  O    ebretl
9592753  O    kindanoob
9592245  O    klyd3r
9592168  O    kindanoob
9591681  O    kindanoob
9591491  O    reCurs3
9591019  O    spelljack
9591017    X  AzureFractal
9590657  O    RyanDraves
9590539  O    RyanDraves
9589799  O    Vlad-Shcherbina
9589635  O    RyanDraves
9589506  O    RyanDraves
9589397    X  succcubbus
9588829  O    alexander-mol
9588034    X  ericzhang98
9587964  O    alexander-mol
9587573  O    alexander-mol
9587054  O    RyanDraves
9587029  O    RyanDraves
9586531  O    klyd3r
9586450  O    RyanDraves
9586442  O    FiodorG
9586266    X  coleholcomb
9585527  O    ipost
9584828  O    ipost
9583694  O    alexander-mol
9583516  O    alexander-mol
9583130  O    klyd3r
9582343  O    dhallstr
9582332  O    alexander-mol
9581849  O    Andersgee
9581335    X  klyd3r
9581247  O    alexander-mol
9580681  O    alexander-mol
9580042  O    AzureFractal
9579493  O    RyanDraves
9579325  O    ipost
9578725  O    dhallstr
9578662  O    kindanoob
9578148  O    klyd3r
9578147  O    ipost
9578013    X  kindanoob
9577961  O    klyd3r
9577706  O    kindanoob
9577531  O    ericzhang98
9576789  O    klyd3r
9576786  O    klyd3r
9576452  O    kindanoob
9576060  O    alexander-mol
9575781  O    ipost
9575050  O    kindanoob
9574824    X  ipost
9574820  O    klyd3r
9574331  O    spelljack
9573807  O    klyd3r
9573738  O    klyd3r
9573576  O    alexander-mol
9573282  O    kindanoob
9573142  O    klyd3r
9572989  O    kindanoob
9572681  O    dhallstr
9572398  O    jcjones94
9571716  O    AzureFractal
9571317  O    SiestaGuru
9570886  O    klyd3r
9570347  O    alexander-mol
9569644    X  RyanDraves
9569472  O    alexander-mol
9568261  O    RyanDraves
9567912  O    klyd3r
9567909  O    kindanoob
9567809  O    spelljack
9567620  O    klyd3r
9567585  O    huizew
9567518    X  RyanDraves
9567416  O    alexander-mol
9566945  O    kindanoob
9566824  O    AzureFractal
9565111  O    RyanDraves
9565051    X  ewirkerman
9565046  O    ipost
9564829  O    ipost
9564360  O    Gadziferoth
9563700  O    klyd3r
9563461  O    alexander-mol
9562951  O    kindanoob
9562502  O    AzureFractal
9562296  O    succcubbus
9561799  O    klyd3r
9561522    X  kindanoob
9560645  O    alexander-mol
9559850  O    klyd3r
9559841    X  kindanoob
9559780  O    RyanDraves
9558856  O    succcubbus
9558813  O    alexander-mol
9557653  O    ipost
9557285  O    alexander-mol
9556779  O    spelljack
9556710  O    klyd3r
9556635  O    ipost
9556203  O    AzureFractal
9556124  O    AzureFractal
9556076  O    alexander-mol
9556006  O    klyd3r
9555665  O    RyanDraves
9555500  O    kindanoob
9554828  O    alexander-mol
9554553  O    RyanDraves
9554350    X  ipost
9554290  O    RyanDraves
9553982  O    ericzhang98
9553504  O    dhallstr
